,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
count,12844,12836,12836,12836.0,12836.0,12836.0,10982,12836,12836,12836,12836,12836.0,12836.0,12836.0,12836.0,12836.0,12836.0,12836.0,12836.0,12836.0,12836.0,12836
unique,12844,2548,36,,,,353,82,48,9,76,,,,,,,,,,,27
top,12843,Vince Carter,CLE,,,,Kentucky,USA,Undrafted,1,Undrafted,,,,,,,,,,,2021-22
freq,1,22,450,,,,447,10713,2354,7349,2410,,,,,,,,,,,605
mean,,,,27.04728887503895,200.55344811467748,100.26438678466813,,,,,,51.167575568713,8.213158304767841,3.558320349018386,1.8253505765035833,-2.225997195387971,0.05406629791212215,0.14062807728264257,0.1846463851667186,0.5130756466188844,0.13161171704580865,
std,,,,4.339599378076405,9.111593767745891,12.42800092383526,,,,,,25.080309721350535,6.017099174408292,2.478131567211828,1.801175457479171,12.668447702007079,0.04333499354788046,0.0625208069399653,0.05354929715441761,0.10171343275772665,0.09415384835435175,
min,,,,18.0,160.02,60.327736,,,,,,1.0,0.0,0.0,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,
25%,,,,24.0,193.04,90.7184,,,,,,31.0,3.6,1.8,0.6,-6.4,0.021,0.096,0.149,0.481,0.066,
50%,,,,26.0,200.66,99.79024,,,,,,57.0,6.7,3.0,1.2,-1.3,0.04,0.13,0.181,0.525,0.103,
75%,,,,30.0,208.28,108.86208,,,,,,73.0,11.5,4.7,2.4,3.2,0.083,0.179,0.217,0.563,0.179,
max,,,,44.0,231.14,163.29312,,,,,,85.0,36.1,16.3,11.7,300.0,1.0,1.0,1.0,1.5,1.0,
